Flights,Airport_Name,Abbreviation,Region
39,Munich Airport,MUC,Europe
17,London Heathrow Airport,LHR,Europe
14,Dubai International Airport,DXB,Middle East
13,Frankfurt Main Airport,FRA,Europe
13,Amsterdam Airport Schipol,AMS,Europe
12,John F Kennedy International Airport,JFK,North America
11,Singapore Changi Airport,SIN,Asia
11,Las Americas International Airport,SDQ,Central America
8,Copenhagen Kastrup Airport,CPH,Europe
7,Hamburg Airport,HAM,Europe
7,Hong Kong International Airport,HKG,Asia
7,Sheremetyevo International Airport,SVO,Europe
6,Boston Logan International Airport,BOS,North America
6,Suvarnabhumi Airport,BKK,Asia
6,Comodoro Arturo Merino Bentez International Airport,SCL,South America
6,Hartsfield Jackson Airport,ATL,North America
5,San Francisco International Airport,SFO,North America
5,Ngurah Rai International Airport,DPS,Asia
4,Adolfo Suarez Madrid Barajas Airport,MAD,Europe
4,Doha International Airport,DIA,Middle East
4,Miami International Airport,MIA,North America
4,Charles de Gaulle International Airport,CDG,Europe
4,London Gatwick Airport,LGW,Europe
4,Antalya International Airport,AYT,Europe
4,Phoenix Sky Harbor International Airport,PHX,North America
4,Domodedovo International Airport,DME,Europe
4,Jomo Kenyatta International Airport,NBO,Africa
3,Brussels Airport,BRU,Europe
3,Bandaranaike International Airport,CMB,Asia
3,Kuala Lumpur International Airport,KUL,Asia
3,Newcastle Airport,NCL,Europe
3,OR Tambo International Airport,JNB,Africa
3,Presidente Carlos del Campo International Airport,PUQ,South America
3,Pulkovo Airport,LED,Europe
3,Salt Lake City International Airport,SLC,North America
3,London Stansted Airport,STN,Europe
3,Leonardo da Vinci Fiumicino Airport,FCO,Europe
3,Ronald Reagan Washington National Airport,DCA,North America
3,Ministro Pistarini International Airport,EZE,South America
3,Chicago O'Hare International Airport,ORD,North America
2,Oslo Airport,OSL,Europe
2,Kota Kinabalu International Airport,BKI,Asia
2,Warsaw Chopin Airport,WAW,Europe
2,Krasnodar International Airport,KRR,Europe
2,Kazan International Airport,KZN,Europe
2,Geneva Cointrin International Airport,GVA,Europe
2,Helsinki Vantaa Airport,HEL,Europe
2,Sofia Airport,SOF,Europe
2,Guaruhols International Airport,GRU,South America
2,Mount Pleasant Airport,MPN,South America
