Country.Name,Country.Code,Land_Area,Avg_Revenue
Aruba,ABW,180.0,1604272727.27273
Africa Eastern and Southern,AFE,14845090.09,0.0
Afghanistan,AFG,652230.0,104818181.818182
Africa Western and Central,AFW,9045773.0,0.0
Angola,AGO,1246700.0,780181818.181818
Albania,ALB,27400.0,1840363636.36364
Andorra,AND,470.0,1910000000.0
Arab World,ARB,13100559.0,0.0
United Arab Emirates,ARE,71020.0,21627563742.8977
Argentina,ARG,2736690.0,5296727272.72727
Armenia,ARM,28470.0,967181818.181818
American Samoa,ASM,200.0,22000000.0
Antigua and Barbuda,ATG,440.0,790142857.142857
Australia,AUS,7692020.0,37176181818.1818
Austria,AUT,82520.0,21751666666.6667
Azerbaijan,AZE,82650.0,2185009088.68963
Burundi,BDI,25680.0,2899999.97615814
Belgium,BEL,30280.0,11456636363.6364
Benin,BEN,112760.0,172325999.450684
Burkina Faso,BFA,273600.0,158000000.0
Bangladesh,BGD,130170.0,206227272.727273
Bulgaria,BGR,108560.0,4097363636.36364
Bahrain,BHR,790.0,2646818181.81818
"Bahamas, The",BHS,10010.0,2618090909.09091
Bosnia and Herzegovina,BIH,51200.0,821818181.818182
Belarus,BLR,202950.0,999409090.909091
Belize,BLZ,22810.0,0.0
Bermuda,BMU,54.0,440300000.0
Bolivia,BOL,1083300.0,689727272.727273
Brazil,BRA,8358140.0,6117818181.81818
Barbados,BRB,430.0,987857142.857143
Brunei Darussalam,BRN,5270.0,132142857.142857
Bhutan,BTN,38140.0,107727272.727273
Botswana,BWA,566730.0,502946363.969283
Central African Republic,CAF,622980.0,15000000.0
Canada,CAN,8788700.0,19217000000.0
Central Europe and the Baltics,CEB,1104953.23,0.0
Switzerland,CHE,39509.63,19338272727.2727
Channel Islands,CHI,198.0,0.0
Chile,CHL,743532.0,3101000000.0
China,CHN,9388210.0,0.0
Cote d'Ivoire,CIV,318000.0,314390909.368342
Cameroon,CMR,472710.0,498727272.727273
"Congo, Dem. Rep.",COD,2267050.0,17077777.7777778
"Congo, Rep.",COG,341500.0,50442858.0147879
Colombia,COL,1109500.0,4881090909.09091
Comoros,COM,1861.0,50709999.0844727
Cabo Verde,CPV,4030.0,427000000.0
Costa Rica,CRI,51060.0,3175363636.36364
Caribbean small states,CSS,404850.0,0.0
Cuba,CUB,103800.0,2585181818.18182
Curacao,CUW,444.0,615636363.636364
Cayman Islands,CYM,240.0,658600000.0
Cyprus,CYP,9240.0,2656696755.14915
Czechia,CZE,77186.83,7474545454.54545
Germany,DEU,349390.0,54488500000.0
Djibouti,DJI,23180.0,29066666.6666667
Dominica,DMA,750.0,138444444.444444
Denmark,DNK,40000.0,7121777777.77778
Dominican Republic,DOM,47531.0,5722888888.88889
Algeria,DZA,2381741.0,246500000.0
East Asia & Pacific (excluding high income),EAP,16001571.47,0.0
Early-demographic dividend,EAR,33324923.74,0.0
East Asia & Pacific,EAS,24484453.47,0.0
Europe & Central Asia (excluding high income),ECA,22393223.0,0.0
Europe & Central Asia,ECS,27440754.49,0.0
Ecuador,ECU,248360.0,1453454545.45455
"Egypt, Arab Rep.",EGY,995450.0,9017090909.09091
Euro area,EMU,2680151.404,0.0
Eritrea,ERI,121040.829,48000000.0
Spain,ESP,499733.244,0.0
Estonia,EST,42750.0,1966125000.0
Ethiopia,ETH,1128571.265,2366909090.90909
European Union,EUU,3996581.774,0.0
Fragile and conflict affected situations,FCS,20454306.09,0.0
Finland,FIN,303947.7,4855727272.72727
Fiji,FJI,18270.0,1023909090.90909
France,FRA,547557.0,63337181818.1818
Faroe Islands,FRO,1370.0,0.0
"Micronesia, Fed. Sts.",FSM,700.0,0.0
Gabon,GAB,257670.0,47883333.5240682
United Kingdom,GBR,241930.0,0.0
Georgia,GEO,69490.0,2022636363.63636
Ghana,GHA,227533.0,923000000.0
Gibraltar,GIB,10.0,0.0
Guinea,GIN,245720.0,9953000.03290176
"Gambia, The",GMB,10120.0,104545454.545455
Guinea-Bissau,GNB,28120.0,15043333.530426
Equatorial Guinea,GNQ,28050.0,0.0
Greece,GRC,128900.0,16909090909.0909
Grenada,GRD,340.0,305333333.333333
Greenland,GRL,410450.0,0.0
Guatemala,GTM,107160.0,1083309082.03125
Guam,GUM,540.0,0.0
Guyana,GUY,196850.0,0.0
High income,HIC,35266437.49,0.0
"Hong Kong SAR, China",HKG,1050.0,37976200000.0
Honduras,HND,111890.0,589809093.128551
Heavily indebted poor countries (HIPC),HPC,19394766.09,0.0
Croatia,HRV,55960.0,9410259366.12216
Haiti,HTI,27560.0,512222222.222222
Hungary,HUN,91260.0,7369272727.27273
IBRD only,IBD,70980294.47,0.0
IDA & IBRD total,IBT,96069043.56,0.0
IDA total,IDA,25088749.09,0.0
IDA blend,IDB,4384623.0,0.0
Indonesia,IDN,1892555.47,11559272727.2727
IDA only,IDX,20704126.09,0.0
Isle of Man,IMN,570.0,0.0
