Entity,Code,Year,International tourist arrivals by region of origin
Africa (UNWTO),,1995,12825738
Africa (UNWTO),,1996,14147503
Africa (UNWTO),,1997,13960251
Africa (UNWTO),,1998,15610950
Africa (UNWTO),,1999,15517119
Africa (UNWTO),,2000,16493972
Africa (UNWTO),,2001,17825906
Africa (UNWTO),,2002,19361636
Africa (UNWTO),,2003,19421876
Africa (UNWTO),,2004,20436836
Africa (UNWTO),,2005,21475988
Africa (UNWTO),,2006,26401410
Africa (UNWTO),,2007,30212492
Africa (UNWTO),,2008,31112308
Africa (UNWTO),,2009,28588080
Africa (UNWTO),,2010,31104820
Africa (UNWTO),,2011,28950046
Africa (UNWTO),,2012,31673978
Africa (UNWTO),,2013,32779956
Africa (UNWTO),,2014,35102652
Africa (UNWTO),,2015,37677390
Africa (UNWTO),,2016,41344696
Africa (UNWTO),,2017,43584270
Africa (UNWTO),,2018,46124516
Africa (UNWTO),,2019,47717596
Africa (UNWTO),,2020,12551529
Africa (UNWTO),,2021,13066761
Africa (UNWTO),,2022,17879562
Americas (UNWTO),,1995,101538740
Americas (UNWTO),,1996,109222250
Americas (UNWTO),,1997,114019030
Americas (UNWTO),,1998,119551576
Americas (UNWTO),,1999,121235310
Americas (UNWTO),,2000,130497920
Americas (UNWTO),,2001,125481070
Americas (UNWTO),,2002,121308580
Americas (UNWTO),,2003,115344810
Americas (UNWTO),,2004,130695360
Americas (UNWTO),,2005,138025600
Americas (UNWTO),,2006,144708300
Americas (UNWTO),,2007,151933090
Americas (UNWTO),,2008,152322740
Americas (UNWTO),,2009,147420160
Americas (UNWTO),,2010,157586380
Americas (UNWTO),,2011,166079020
Americas (UNWTO),,2012,172825540
Americas (UNWTO),,2013,178661070
Americas (UNWTO),,2014,194033360
Americas (UNWTO),,2015,203406910
Americas (UNWTO),,2016,213921120
Americas (UNWTO),,2017,230232080
Americas (UNWTO),,2018,241489460
Americas (UNWTO),,2019,247056370
Americas (UNWTO),,2020,70921330
Americas (UNWTO),,2021,84756600
Americas (UNWTO),,2022,163154600
East Asia and the Pacific (UNWTO),,1995,114628020
East Asia and the Pacific (UNWTO),,1996,125871070
East Asia and the Pacific (UNWTO),,1997,130843580
East Asia and the Pacific (UNWTO),,1998,131560696
East Asia and the Pacific (UNWTO),,1999,148075500
East Asia and the Pacific (UNWTO),,2000,168408400
East Asia and the Pacific (UNWTO),,2001,175181760
East Asia and the Pacific (UNWTO),,2002,189318190
East Asia and the Pacific (UNWTO),,2003,175613860
East Asia and the Pacific (UNWTO),,2004,218114640
East Asia and the Pacific (UNWTO),,2005,235276430
East Asia and the Pacific (UNWTO),,2006,250137780
East Asia and the Pacific (UNWTO),,2007,270263460
East Asia and the Pacific (UNWTO),,2008,267917630
East Asia and the Pacific (UNWTO),,2009,264830430
East Asia and the Pacific (UNWTO),,2010,293878600
East Asia and the Pacific (UNWTO),,2011,313186660
East Asia and the Pacific (UNWTO),,2012,332472060
