Region,Year,International Tourists Arrival
Africa,2010,31106950
Africa,2011,28951870
Africa,2012,31677132
Africa,2013,32783110
Africa,2014,35106084
Africa,2015,37680050
Africa,2016,41345020
Africa,2017,43313516
Africa,2018,45877750
Africa,2019,46207932
Africa,2020,12413700
Africa,2021,11643321
Americas,2010,157585920
Americas,2011,166080160
Americas,2012,172825810
Americas,2013,178661580
Americas,2014,194032800
Americas,2015,203407280
Americas,2016,213916770
Americas,2017,230214880
Americas,2018,241393220
Americas,2019,246915950
Americas,2020,70916950
Americas,2021,84260584
East Asia and the Pacific,2010,293890240
East Asia and the Pacific,2011,313200000
East Asia and the Pacific,2012,332489800
East Asia and the Pacific,2013,352570940
East Asia and the Pacific,2014,374966240
East Asia and the Pacific,2015,397531230
East Asia and the Pacific,2016,419012100
East Asia and the Pacific,2017,449892580
East Asia and the Pacific,2018,478418100
East Asia and the Pacific,2019,489532830
East Asia and the Pacific,2020,47816400
East Asia and the Pacific,2021,18434410
Europe,2010,617293400
Europe,2011,656676000
Europe,2012,691416260
Europe,2013,713429950
Europe,2014,714251840
Europe,2015,732376960
Europe,2016,753796800
Europe,2017,803218400
Europe,2018,844652100
Europe,2019,878253500
Europe,2020,325707740
Europe,2021,364372900
Middle East,2010,33532906
Middle East,2011,36278990
Middle East,2012,37982252
Middle East,2013,40624988
Middle East,2014,49206770
Middle East,2015,52290240
Middle East,2016,50938644
Middle East,2017,51522252
Middle East,2018,58545164
Middle East,2019,62174336
Middle East,2020,13762700
Middle East,2021,19730016
South Asia,2010,19199696
South Asia,2011,22542138
South Asia,2012,21702706
South Asia,2013,21828834
South Asia,2014,26171518
South Asia,2015,27129520
South Asia,2016,29420132
South Asia,2017,33860428
South Asia,2018,35020750
South Asia,2019,37785040
South Asia,2020,8315520.5
South Asia,2021,9107196
